createtripid,region,createtripid_region,requestdate,aborteddataerrorcount,accommodationunavailableerrorcount,createtripformsubmission_adultcount,badproportionerrorcount,createtripformsubmission_childages,createtripformsubmission_childcount,createtripformsubmission_closestcity_id,createtripformsubmission_closestcity,creationdate,createtripformsubmission_directjourney,createtripformsubmission_durationdays,array_to_string,createtripformsubmission_extrainfo,failtimeseconds,failureindurationserrorcount,createtripformsubmission_fastjourney,firstchoiceaccommodationunavailablecount,noavailabledotwaccommodationerrorcount,nofamilymanualfallbackserrorcount,nogoodscoreerrorcount,norouteserrorcount,jotform_onewaytrip,overnightreductionerrorcount,createtripformsubmission_preferreddate,createtripformsubmission_roomcount,substituteaccommodationunavailablecount,success,timeouterrorcount,transportunavailableerrorcount,tripbuildtimeseconds,createtripformsubmission_twinroompreferred
"891585467457763","Southern Italy","891585467457763_Southern Italy","'2024-01-20 10:44:58.368'","0","0","2","0","{}","0","26","London","'2024-01-20 10:45:09.267'","false","12","Arts and Culture,History,Adventure","{}","","0","false","0","0","0","0","1","","0","'2024-05-16'","1","0","true","0","0","9.51","false"
"891585467457763","Italian Riviera","891585467457763_Italian Riviera","'2024-01-20 10:44:58.368'","0","0","2","0","{}","0","26","London","'2024-01-20 10:45:11.821'","false","12","Arts and Culture,History,Adventure","{}","","0","false","1","0","0","0","0","","0","'2024-05-16'","1","0","true","0","0","12.06","false"
"856446659120383","Highlands & Islands","856446659120383_Highlands & Islands","'2024-01-20 10:45:24.467'","0","0","2","14","{}","0","833158856","Coventry","","false","3","Relaxation,History","{}","11.65","0","false","1","1","0","1","9","","0","'2024-05-13'","1","1","false","0","0","","false"
"856446659120383","East Highlands","856446659120383_East Highlands","'2024-01-20 10:45:24.467'","0","0","2","4","{}","0","833158856","Coventry","'2024-01-20 10:45:29.964'","false","3","Relaxation,History","{}","","0","false","0","0","0","0","0","","0","'2024-05-13'","1","0","true","0","0","4.79","false"
"643110738642468","Yorkshire","643110738642468_Yorkshire","'2024-01-20 10:46:38.669'","0","0","2","0","{}","0","28","Birmingham","'2024-01-20 10:46:45.532'","false","4","History,Nature,Food and Drink","{}","","0","false","1","0","0","0","0","","0","'2024-08-15'","1","0","true","0","0","5.79","true"
"882120083576575","Alsace","882120083576575_Alsace","'2024-01-20 10:48:42.199'","0","0","2","0","{}","0","26","London","'2024-01-20 10:48:46.012'","false","5","Relaxation,History,Food and Drink,Nature,Arts and Culture","{}","","0","false","0","0","0","0","2","","0","'2024-05-30'","1","0","true","0","0","2.93","true"
"749696652786878","Belgium","749696652786878_Belgium","'2024-01-20 10:50:58.782'","0","0","2","0","{}","0","42771065","Liverpool","'2024-01-20 10:51:10.961'","false","7","Food and Drink,History,Nature,Arts and Culture,Nightlife","{}","","0","false","1","0","0","0","0","","0","'2024-03-16'","1","0","true","0","0","11.48","false"
"639440762388119","Corsica","639440762388119_Corsica","'2024-01-20 10:53:39.128'","0","0","2","0","{13,11}","2","26","London","'2024-01-20 10:53:55.616'","false","14","Good for kids","{}","","0","false","1","0","0","0","0","","0","'2024-08-11'","1","0","true","0","0","15.66","false"
"639440762388119","Hauts-de-France","639440762388119_Hauts-de-France","'2024-01-20 10:53:39.128'","0","0","2","0","{13,11}","2","26","London","'2024-01-20 10:53:55.467'","false","14","Good for kids","{}","","0","false","1","0","0","0","0","","0","'2024-08-11'","1","0","true","0","0","15.50","false"
"747514586085701","Southern Italy","747514586085701_Southern Italy","'2024-01-20 10:58:03.417'","0","0","2","0","{}","0","22370660","Newcastle","'2024-01-20 10:58:09.650'","false","21","Relaxation,History,Food and Drink","{}","","0","false","0","0","0","0","10","","0","'2025-07-01'","1","0","true","0","0","5.22","false"
"662696084470137","Southern Italy","662696084470137_Southern Italy","'2024-01-20 11:00:08.136'","0","0","2","0","{}","0","22370660","Newcastle","'2024-01-20 11:00:16.325'","false","14","Relaxation,History,Food and Drink","{}","","0","false","0","0","0","0","5","","0","'2025-07-15'","1","0","true","0","0","7.25","false"
"843008524729437","Southern Italy","843008524729437_Southern Italy","'2024-01-20 11:00:38.874'","0","0","2","0","{}","0","22370660","Newcastle","'2024-01-20 11:00:44.725'","false","14","Relaxation,History,Food and Drink","{}","","0","false","0","0","0","0","5","","0","'2025-07-01'","1","0","true","0","0","5.05","false"
"835615241430281","Italian Riviera","835615241430281_Italian Riviera","'2024-01-20 11:00:55.728'","0","0","2","0","{}","0","26","London","'2024-01-20 11:01:09.033'","false","7","History,Food and Drink,Nightlife,Nature,Relaxation,Arts and Culture","{}","","0","false","1","0","0","0","0","","0","'2024-06-03'","1","0","true","0","0","11.96","false"
"835615241430281","Northern Italy","835615241430281_Northern Italy","'2024-01-20 11:00:55.728'","0","0","2","0","{}","0","26","London","'2024-01-20 11:01:07.755'","false","7","History,Food and Drink,Nightlife,Nature,Relaxation,Arts and Culture","{}","","0","false","1","0","0","0","0","","0","'2024-06-03'","1","0","true","0","0","10.68","false"
"644688542818153","Southern Italy","644688542818153_Southern Italy","'2024-01-20 11:05:23.008'","0","0","2","0","{}","0","22370660","Newcastle","'2024-01-20 11:05:29.281'","false","14","Relaxation,History,Food and Drink","{}","","0","false","0","0","0","0","5","","0","'2025-04-21'","1","0","true","0","0","5.51","false"
"701315844718805","Southern Italy","701315844718805_Southern Italy","'2024-01-20 11:05:54.554'","0","0","2","0","{}","0","22370660","Newcastle","'2024-01-20 11:06:02.204'","false","14","Relaxation,History,Food and Drink","{}","","0","false","0","0","0","0","5","","0","'2025-07-01'","1","0","true","0","0","6.88","false"
"867473679758436","Southern Italy","867473679758436_Southern Italy","'2024-01-20 11:06:46.871'","0","0","2","0","{}","0","22370660","Newcastle","'2024-01-20 11:06:55.054'","false","15","Relaxation,History,Food and Drink","{}","","0","false","0","0","0","0","2","","0","'2025-04-21'","1","0","true","0","0","7.23","false"
"789174898472070","Cornwall","789174898472070_Cornwall","'2024-01-20 11:09:34.711'","0","0","1","0","{15}","1","28","Birmingham","'2024-01-20 11:09:45.262'","false","7","Good for kids","{}","","0","false","1","0","0","0","0","","0","'2024-08-09'","1","0","true","0","0","9.40","true"
"797960900422802","Highlands & Islands","797960900422802_Highlands & Islands","'2024-01-20 11:10:11.337'","0","0","2","1","{}","0","835211552","Blackpool","'2024-01-20 11:10:20.261'","false","4","History,Adventure,Nature,Relaxation","{}","","0","false","0","0","0","0","0","","0","'2024-03-16'","1","0","true","0","0","7.98","false"
"678631692895018","Highlands & Islands","678631692895018_Highlands & Islands","'2024-01-20 11:11:47.990'","0","0","2","1","{}","0","34","Manchester","'2024-01-20 11:11:56.170'","false","4","Relaxation,Food and Drink","{}","","0","false","0","0","0","0","0","","0","'2024-03-12'","1","0","true","0","0","6.84","false"
"675305430969085","Highlands & Islands","675305430969085_Highlands & Islands","'2024-01-20 11:14:28.218'","0","0","2","1","{7}","1","26","London","'2024-01-20 11:14:35.751'","false","4","Nature,Good for kids","{}","","0","false","0","0","0","0","0","","0","'2024-03-30'","1","0","true","0","0","6.91","false"
"675305430969085","Yorkshire","675305430969085_Yorkshire","'2024-01-20 11:14:28.218'","0","0","2","0","{7}","1","26","London","","false","4","Nature,Good for kids","{}","19266.32","0","false","0","0","0","0","2","","0","'2024-03-30'","1","0","false","0","0","","false"
"894609639863913","Alsace","894609639863913_Alsace","'2024-01-20 11:14:31.076'","0","0","2","0","{}","0","26","London","'2024-01-20 11:14:37.232'","false","5","Relaxation,Food and Drink","{}","","0","false","0","0","0","0","1","","0","'2024-05-02'","1","0","true","0","0","5.48","false"
"825546349686486","East Highlands","825546349686486_East Highlands","'2024-01-20 11:14:56.501'","0","0","2","0","{}","0","1635547","Chester","'2024-01-20 11:15:03.768'","false","3","Arts and Culture,History,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-03-29'","1","0","true","0","0","6.35","true"
"825546349686486","Highlands & Islands","825546349686486_Highlands & Islands","'2024-01-20 11:14:56.501'","0","0","2","2","{}","0","1635547","Chester","'2024-01-20 11:15:06.611'","false","3","Arts and Culture,History,Nature","{}","","0","false","0","0","0","0","0","","0","'2024-03-29'","1","0","true","0","0","9.19","true"
"891427521437718","East Highlands","891427521437718_East Highlands","'2024-01-20 11:15:44.205'","0","0","2","0","{}","0","-1","Glasgow","'2024-01-20 11:15:50.677'","false","3","Relaxation,Arts and Culture,History,Nature","{}","","0","false","1","0","0","0","0","","0","'2024-05-31'","1","0","true","0","0","5.26","false"
"891427521437718","Highlands & Islands","891427521437718_Highlands & Islands","'2024-01-20 11:15:44.205'","0","0","2","0","{}","0","-1","Glasgow","'2024-01-20 11:16:00.436'","false","3","Relaxation,Arts and Culture,History,Nature","{}","","0","false","0","0","0","0","1","","0","'2024-05-31'","1","0","true","0","0","15.01","false"
"623789306663591","Highlands & Islands","623789306663591_Highlands & Islands","'2024-01-20 11:18:52.130'","0","0","2","0","{11}","1","22391570","Sheffield","'2024-01-20 11:19:03.906'","false","7","History,Nature,Good for kids","{}","","0","false","1","0","0","0","0","","0","'2024-03-16'","1","0","true","0","0","9.68","false"
